Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2011,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,183,4.6,3997493.00
AIDS deaths,2012,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,202,5,4019335.00
AIDS deaths,2013,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,187,4.6,4041871.00
AIDS deaths,2014,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,210,5.2,4059211.00
AIDS deaths,2015,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,210,5.2,4070748.00
AIDS deaths,2016,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,199,4.9,4082972.00
AIDS deaths,2017,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,184,4.5,4094777.00
AIDS deaths,2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,9,1.5,584567.00
AIDS deaths,2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,8,1.3,592771.00
AIDS deaths,2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,13,2.2,599385.00
AIDS deaths,2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,10,1.7,599474.00
AIDS deaths,2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,9,1.5,600941.00
AIDS deaths,2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,8,1.3,604157.00
AIDS deaths,2017,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,5,0.8,603161.00
AIDS deaths,2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,156,2.9,5304658.00
AIDS deaths,2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,167,3.1,5388365.00
AIDS deaths,2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,173,3.2,5469060.00
